,Price,Currency,Euro_Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
1,3490,EUR,3490,Center console boat,Terhi power boats,new boat from stock,2020,4,1.5,Thermoplastic,Germany,75
3,3399,EUR,3399,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,Germany,58
7,3500,CHF,3500,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,Switzerland,239
8,3500,EUR,4000,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2,GRP,Italy,69
9,4600,CHF,3999,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,Switzerland,113
10,4500,CHF,3930,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,Switzerland,413
12,4000,EUR,3900,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,8,2.84,PVC,France,265
14,3999,EUR,3500,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,Germany,69
15,3930,EUR,5500,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,Germany,90
16,3900,EUR,5500,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,Germany,98
18,4200,CHF,5500,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,Switzerland,160
19,4030,CHF,5399,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,Switzerland,130
21,3975,CHF,5200,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,Switzerland,512
22,3950,CHF,6590,Sport Boat,MÃ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,Switzerland,202
24,3800,CHF,6500,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,Switzerland,255
25,3800,CHF,6500,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,Switzerland,1804
26,3800,CHF,6500,Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,Switzerland,849
27,3500,EUR,6500,Center console boat,Ibis power boats,"Used boat,Unleaded",1983,4.4,1.5,GRP,Germany,133
32,5500,EUR,6500,Sport Boat,Corsiva power boats,new boat from stock,2018,5.2,2.2,GRP,Germany,186
33,5500,EUR,6490,Center console boat,Saver power boats,"Used boat,Unleaded",1997,4.4,1.78,PVC,Spain,118
34,5500,EUR,7640,Sport Boat,Ilver power boats,Used boat,1961,5.5,2.06,GRP,Italy,74
35,5900,CHF,7500,Sport Boat,Skibsplast power boats,Used boat,1980,5.85,2.23,GRP,Switzerland,543
37,5399,EUR,7500,Fishing Boat,Linder power boats,new boat from stock,2018,4.01,1.64,Aluminium,Germany,67
41,5200,EUR,7500,Fishing Boat,Viking power boats,new boat from stock,2020,4.2,1.85,Aluminium,Germany,141
42,5500,CHF,7500,Sport Boat,Staempfli power boats,Used boat,1968,4.05,1.58,GRP,Switzerland,278
43,5500,CHF,7500,Runabout,Kimple power boats,new boat from stock,2020,4,1.65,Aluminium,Switzerland,99
44,7200,CHF,7500,Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,3.95,1.55,Plastic,Switzerland,1201
46,6590,EUR,8500,Runabout,Schweizer power boats,"Used boat,Unleaded",1972,5.5,1.9,GRP,Germany,277
47,6500,EUR,8500,Cabin Boat,Cranchi power boats,"Used boat,Diesel",1990,6.28,2.27,GRP,Italy,85
48,6500,EUR,8500,Deck Boat,Corsiva power boats,new boat from stock,2018,5.7,2.2,GRP,Germany,122
49,6500,EUR,8500,Pontoon Boat,Brig power boats,"Used boat,Unleaded",2010,5,2.15,GRP,Italy,183
50,6500,EUR,9750,Cabin Boat,Dawncraft power boats,"Used boat,Unleaded",1968,8,2.1,GRP,Germany,289
51,6500,EUR,9599,Sport Boat,Invader power boats,"Used boat,Unleaded",1991,4.5,2.1,GRP,Austria,324
53,6490,EUR,9575,Cabin Boat,Hille power boats,Unleaded,1994,4.75,1.86,GRP,Germany,126
54,7000,CHF,9553,Sport Boat,Bienchen  power boats,Used boat,2018,3.2,1.5,GRP,Switzerland,238
55,7000,CHF,9500,Cabin Boat,Fjord power boats,"Used boat,Unleaded",1980,7.26,2.9,GRP,Switzerland,866
56,7000,CHF,9500,Bowrider,Ecofiber power boats,"Used boat,Unleaded",2000,4.15,1.65,GRP,Switzerland,574
58,8300,CHF,9500,"Sport Boat,Working Boat",Italmarine power boats,"Used boat,Unleaded",1986,4.28,1.65,Aluminium,Switzerland,205
60,7640,EUR,10115,Deck Boat,Elan power boats,"Used boat,Unleaded",1985,4.5,2.1,GRP,Germany,200
61,8155,CHF,10000,Bowrider,Terhi power boats,"new boat from stock,Unleaded",2020,4.45,1.85,Thermoplastic,Switzerland,462
62,7500,EUR,10000,Center console boat,Fletcher power boats,"Used boat,Unleaded",1996,4.5,1.7,GRP,Germany,201
65,7500,EUR,10000,Sport Boat,Fjord power boats,"Used boat,Unleaded",1971,5.7,2.2,GRP,Austria,137
66,7500,EUR,10000,Sport Boat,Ultramar power boats,"Used boat,Unleaded",1994,5.5,2.45,PVC,France,208
67,7500,EUR,10000,Cabin Boat,Yachting France power boats,"Used boat,Unleaded",1981,6.4,2.54,GRP,France,189
68,7500,EUR,10000,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2005,5.23,2.15,PVC,France,131
69,7500,EUR,10000,Sport Boat,Volvo power boats,"Used boat,Unleaded",1995,5.8,2.28,GRP,Germany,490
72,9400,CHF,11000,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1976,5.85,2.3,GRP,Switzerland,280
75,9265,CHF,11000,Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,4.8,1.9,GRP,Switzerland,873
76,9200,CHF,11000,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,5.18,2.18,GRP,Switzerland,258
80,8500,EUR,11000,Center console boat,Allegra power boats,Used boat,2018,5.3,2.2,GRP,Italy,165
81,8500,EUR,11000,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1994,5.74,2.31,PVC,France,78
82,8500,EUR,11000,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2006,5.8,2.5,PVC,France,116
83,8500,EUR,11000,Sport Boat,Hellwig power boats,"Used boat,Unleaded",2016,3.1,1.4,GRP,Germany,250
87,9750,EUR,11000,Trawler,Gouwerok power boats,Used boat,1980,8.5,3,Steel,Netherlands,183
88,10500,CHF,11000,Fishing Boat,Marino CN power boats,"Used boat,Unleaded",2011,4.5,1.95,GRP,Switzerland,465
91,10400,CHF,11000,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,6,2.3,GRP,Switzerland,418
92,9599,EUR,10999,Cabin Boat,Crescent power boats,Unleaded,1992,5.65,2.2,GRP,Germany,185
93,9575,EUR,10999,Sport Boat,Sting power boats,new boat from stock,2016,4.88,2.03,GRP,Germany,64
94,9553,EUR,10999,Motor Yacht,Moonday power boats,new boat from stock,2019,4.8,2,GRP,Netherlands,91
95,9500,EUR,10990,Cabin Boat,Gouwerok power boats,Used boat,1964,8.4,2.85,Steel,Netherlands,138
96,9500,EUR,10990,Sport Boat,Trimarchi  power boats,"new boat from stock,Gas",2019,5.7,2.1,GRP,Italy,184
97,9500,EUR,12000,Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,6.8,2.5,GRP,Germany,162
100,11000,CHF,12000,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,6.18,2.42,GRP,Switzerland,256
101,11000,CHF,12000,Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,7,1.9,Wood,Switzerland,230
102,11000,CHF,12000,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,6,1.6,GRP,Switzerland,182
103,10115,EUR,12000,Sport Boat,Italmar power boats,new boat from stock,2020,4.99,2.1,GRP,Germany,115
104,10900,CHF,11990,Runabout,Safter Marine power boats,new boat on order,2020,4.5,1.65,GRP,Switzerland,159
106,10000,EUR,12770,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,8.5,2.6,GRP,Italy,585
107,10000,EUR,12500,Sport Boat,Cigala & Bertinetti power boats,"Used boat,Unleaded",1979,7.25,2.37,GRP,Italy,185
110,10000,EUR,12500,Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,12,3,Steel,Italy,182
111,10000,EUR,12500,"Cabin Boat,Trawler",Werner  power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,Germany,900
112,10000,EUR,12500,Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,Italy,783
113,10000,EUR,13690,Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,France,175
114,10000,EUR,13500,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,7.02,2.52,PVC,France,207
115,11000,EUR,13500,Sport Boat,Bayliner power boats,Used boat,1988,6.3,2.34,GRP,Italy,284
116,11000,EUR,13500,Motor Yacht,Chrysler power boats,"Used boat,Unleaded",1974,4.9,2.1,GRP,Germany,125
117,11000,EUR,13500,Cabin Boat,Stingray power boats,Used boat,1997,6.5,2.4,GRP,Italy,229
118,11000,EUR,13500,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,7.03,2.54,PVC,France,226
119,11000,EUR,13500,"Bowrider,Classic",Sunbird power boats,"Used boat,Unleaded",1971,5.79,2.2,Wood,France,87
121,11000,EUR,13500,Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,6.13,2.39,GRP,Italy,175
122,11000,EUR,13500,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.8,2.59,GRP,Italy,173
123,11000,EUR,14500,"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,6,2.4,GRP,Spain,422
124,11000,EUR,14366,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,7.4,2.5,GRP,Germany,243
125,11000,EUR,14200,Sport Boat,Bayliner power boats,Used boat,1987,7.62,2.97,GRP,Netherlands,254
126,10999,EUR,14000,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.07,2.12,GRP,Germany,150
127,10999,EUR,14000,Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,Germany,255
128,10999,EUR,14000,Sport Boat,Remus power boats,new boat from stock,2020,5.2,2.22,GRP,Germany,179
129,10990,EUR,14900,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2003,4.7,2.3,GRP,Germany,169
130,10990,EUR,14900,Cabin Boat,Polar power boats,Diesel,1977,6.7,2.3,GRP,Germany,136
131,12000,EUR,14900,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",1993,7.75,2.75,PVC,France,141
132,12000,EUR,14900,"Classic,Runabout,Sport Boat",Cranchi power boats,"Used boat,Unleaded",1990,6.43,2.25,GRP,Serbia,442
134,12000,EUR,14900,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,6.5,2.2,GRP,Germany,327
135,12000,EUR,14900,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,6.16,2.49,Plastic,Italy,188
136,12000,EUR,14900,"Cabin Boat,Motor Yacht",Fjord power boats,"Used boat,Diesel",1978,7.2,2.95,GRP,Germany,1101
139,11990,EUR,14900,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2005,5,4.96,PVC,France,141
140,12950,CHF,14900,Sport Boat,Atlantic Marine power boats,new boat from stock,2019,5.3,2.39,GRP,Switzerland,284
143,12900,CHF,15500,Runabout,Safter Marine power boats,new boat from stock,2020,5,1.9,GRP,Switzerland,273
144,12900,CHF,15500,Working Boat,Tinn-Silver power boats,"Display Model,Unleaded",2019,4.5,1.75,Aluminium,Switzerland,365
148,12770,EUR,15500,Bowrider,Maxima power boats,new boat from stock,2020,4.9,1.9,GRP,Germany,180
151,12500,EUR,15500,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5,2,GRP,Italy,147
153,12500,EUR,15500,Trawler,Schlosswerft power boats,"Used boat,Diesel",1913,14.7,3.65,Steel,Germany,235
154,12500,EUR,15499,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,5.6,2.2,GRP,Italy,452
155,12500,EUR,15490,Cabin Boat,Compromis power boats,Used boat,1983,7.2,2.85,GRP,Netherlands,165
158,14800,CHF,15446,"Cabin Boat,Sport Boat",Windy power boats,"Used boat,Unleaded",1984,7.05,2.5,GRP,Switzerland,436
159,13690,EUR,15400,Deck Boat,Jeanneau power boats,new boat from stock,2014,5,2,PVC,Slovak,35
